DistName,RegnName,ACT-Composite,ACT-Part_Rate,Year
Alvord ISD,Fort Worth,21.9,59.6,2012
Boyd ISD,Fort Worth,20.4,,2012
Bridgeport ISD,Fort Worth,21.1,18.7,2012
Chico ISD,Fort Worth,20.4,50.0,2012
Decatur ISD,Fort Worth,21.1,61.5,2012
Paradise ISD,Fort Worth,22.0,58.7,2012
Slidell ISD,Fort Worth,20.9,41.2,2012
Crystal City ISD,San Antonio,18.3,64.4,2012
La Pryor ISD,San Antonio,15.1,63.2,2012
Charlotte ISD,San Antonio,,,2013
Jourdanton ISD,San Antonio,20.8,36.5,2013
Lytle ISD,San Antonio,18.7,50.0,2013
Pleasanton ISD,San Antonio,20.5,21.6,2013
Poteet ISD,San Antonio,17.9,34.0,2013
Medina ISD,San Antonio,18.1,40.0,2013
Bandera ISD,San Antonio,20.9,52.4,2013
Bastrop ISD,Austin,20.1,12.2,2013
Elgin ISD,Austin,20.0,19.7,2013
Smithville ISD,Austin,20.6,40.3,2013
Bartlett ISD,Austin,,,2013
Alamo Heights ISD,San Antonio,24.7,64.5,2013
Harlandale ISD,San Antonio,17.4,27.4,2013
Edgewood ISD,San Antonio,16.3,27.3,2013
Randolph Field ISD,San Antonio,22.2,47.6,2013
San Antonio ISD,San Antonio,16.7,38.7,2013
South San Antonio ISD,San Antonio,17.2,21.3,2013
Somerset ISD,San Antonio,15.5,14.3,2013
North East ISD,San Antonio,21.6,27.4,2013
East Central ISD,San Antonio,19.3,28.3,2013
Southwest ISD,San Antonio,18.0,14.7,2013
Lackland ISD,San Antonio,20.8,89.5,2013
Ft Sam Houston ISD,San Antonio,22.6,48.7,2013
Northside ISD,San Antonio,21.6,20.1,2013
Judson ISD,San Antonio,19.0,16.4,2013
Southside ISD,San Antonio,19.3,17.1,2013
Johnson City ISD,Austin,21.5,22.9,2013
Blanco ISD,Austin,21.6,73.0,2013
Alvin ISD,Houston,20.6,17.8,2013
Angleton ISD,Houston,19.9,12.3,2013
Danbury ISD,Houston,,,2013
Brazosport ISD,Houston,21.7,23.6,2013
Sweeny ISD,Houston,20.5,29.9,2013
Columbia-Brazoria ISD,Houston,19.7,12.1,2013
Pearland ISD,Houston,21.4,21.8,2013
Marble Falls ISD,Austin,20.6,36.1,2013
Lockhart ISD,Austin,19.8,20.9,2013
Luling ISD,Austin,17.1,20.5,2013
Prairie Lea ISD,Austin,19.0,50.0,2013
Anahuac ISD,Houston,20.4,46.9,2013
Barbers Hill ISD,Houston,21.3,21.5,2013
Allen ISD,Richardson,24.4,42.2,2013
Anna ISD,Richardson,21.5,14.8,2013
Celina ISD,Richardson,22.2,75.0,2013
Farmersville ISD,Richardson,20.8,26.6,2013
Frisco ISD,Richardson,23.6,49.7,2013
McKinney ISD,Richardson,23.9,46.4,2013
Melissa ISD,Richardson,23.4,46.2,2013
Plano ISD,Richardson,25.9,51.7,2013
Princeton ISD,Richardson,20.9,21.5,2013
Prosper ISD,Richardson,23.5,61.2,2013
Wylie ISD,Richardson,22.3,31.8,2013
Blue Ridge ISD,Richardson,22.2,29.8,2013
Community ISD,Richardson,21.0,17.6,2013
Lovejoy ISD,Richardson,25.4,63.5,2013
New Braunfels ISD,Austin,21.9,17.5,2013
Comal ISD,Austin,22.3,34.2,2013
Gainesville ISD,Fort Worth,19.6,49.7,2013
Muenster ISD,Fort Worth,23.3,52.9,2013
Valley View ISD,Fort Worth,20.7,29.3,2013
Callisburg ISD,Fort Worth,19.9,13.9,2013
Era ISD,Fort Worth,23.1,66.7,2013
Lindsay ISD,Fort Worth,22.7,48.6,2013
Carrollton-Farmers Branch ISD,Richardson,20.6,25.7,2013
Cedar Hill ISD,Richardson,19.3,51.3,2013
Dallas ISD,Richardson,17.1,42.3,2013
Desoto ISD,Richardson,17.2,35.3,2013
Duncanville ISD,Richardson,19.6,32.9,2013
Garland ISD,Richardson,20.6,23.6,2013
Grand Prairie ISD,Richardson,18.7,21.8,2013
Highland Park ISD,Richardson,26.7,85.2,2013
Irving ISD,Richardson,18.4,11.1,2013
Lancaster ISD,Richardson,16.0,42.0,2013
Mesquite ISD,Richardson,18.2,23.5,2013
Richardson ISD,Richardson,22.2,45.5,2013
Sunnyvale ISD,Richardson,23.0,48.2,2013
Coppell ISD,Richardson,25.2,63.5,2013
Denton ISD,Fort Worth,21.0,30.5,2013
Lewisville ISD,Fort Worth,24.0,40.5,2013
Pilot Point ISD,Fort Worth,19.5,38.5,2013
Krum ISD,Fort Worth,21.3,35.1,2013
Ponder ISD,Fort Worth,22.0,48.9,2013
Aubrey ISD,Fort Worth,20.4,36.7,2013
Sanger ISD,Fort Worth,21.4,22.0,2013
Argyle ISD,Fort Worth,23.3,62.0,2013
Northwest ISD,Fort Worth,22.5,36.3,2013
Lake Dallas ISD,Fort Worth,22.3,36.5,2013
Little Elm ISD,Fort Worth,19.9,27.9,2013
Avalon ISD,Richardson,,,2013
Ennis ISD,Richardson,19.8,42.6,2013
Ferris ISD,Richardson,19.5,32.8,2013
Italy ISD,Richardson,19.1,21.3,2013
Midlothian ISD,Richardson,22.2,53.2,2013
Milford ISD,Richardson,20.5,84.6,2013
Palmer ISD,Richardson,21.5,38.7,2013
Red Oak ISD,Richardson,20.5,37.0,2013
Waxahachie ISD,Richardson,21.0,27.3,2013
Maypearl ISD,Richardson,21.4,20.5,2013
Dublin ISD,Fort Worth,20.6,25.8,2013
Huckabay ISD,Fort Worth,21.4,75.0,2013
Lingleville ISD,Fort Worth,17.4,52.9,2013
Bonham ISD,Richardson,19.3,30.4,2013
Dodd City ISD,Richardson,22.8,44.4,2013
Ector ISD,Richardson,22.5,,2013
Honey Grove ISD,Richardson,21.9,62.5,2013
Leonard ISD,Richardson,22.0,52.4,2013
Savoy ISD,Richardson,20.0,25.0,2013
Trenton ISD,Richardson,19.3,31.4,2013
Sam Rayburn ISD,Richardson,19.8,58.5,2013
Flatonia ISD,Austin,20.9,56.3,2013
La Grange ISD,Austin,21.6,13.6,2013
Schulenburg ISD,Austin,18.5,17.4,2013
Fayetteville ISD,Austin,21.3,,2013
Round Top-Carmine ISD,Austin,22.0,40.0,2013
Needville ISD,Houston,22.7,37.4,2013
Fort Bend ISD,Houston,22.3,30.3,2013
Dilley ISD,San Antonio,15.3,47.1,2013
Pearsall ISD,San Antonio,17.4,41.6,2013
Dickinson ISD,Houston,20.4,9.5,2013
Galveston ISD,Houston,20.0,28.5,2013
La Marque ISD,Houston,15.8,25.2,2013
Texas City ISD,Houston,18.4,15.7,2013
Hitchcock ISD,Houston,17.6,33.3,2013
Santa Fe ISD,Houston,21.7,9.9,2013
Clear Creek ISD,Houston,23.6,31.8,2013
Friendswood ISD,Houston,25.0,43.7,2013
Fredericksburg ISD,Austin,22.1,36.6,2013
Harper ISD,Austin,21.9,65.3,2013
Gonzales ISD,Austin,21.2,28.2,2013
Waelder ISD,Austin,,,2013
Bells ISD,Richardson,22.6,,2013
Collinsville ISD,Richardson,20.1,77.8,2013
Denison ISD,Richardson,21.7,40.8,2013
Howe ISD,Richardson,22.1,44.9,2013
Sherman ISD,Richardson,20.6,32.4,2013
Van Alstyne ISD,Richardson,22.7,39.6,2013
Whitesboro ISD,Richardson,22.0,59.5,2013
Whitewright ISD,Richardson,22.5,42.9,2013
Pottsboro ISD,Richardson,22.9,40.7,2013
Gunter ISD,Richardson,23.1,51.9,2013
Tom Bean ISD,Richardson,23.1,28.3,2013
Seguin ISD,Austin,19.5,19.5,2013
Schertz-Cibolo-U City ISD,San Antonio,22.2,20.2,2013
Navarro ISD,Austin,21.6,34.5,2013
Marion ISD,Austin,23.4,15.4,2013
Aldine ISD,Houston,17.8,28.9,2013
Alief ISD,Houston,18.1,22.6,2013
Channelview ISD,Houston,17.7,19.5,2013
Crosby ISD,Houston,19.4,25.4,2013
Cypress-Fairbanks ISD,Houston,21.9,28.2,2013
Deer Park ISD,Houston,22.0,13.0,2013
North Forest ISD,Houston,16.6,22.3,2013
Galena Park ISD,Houston,18.7,33.6,2013
Houston ISD,Houston,20.5,21.2,2013
Humble ISD,Houston,22.3,28.2,2013
Katy ISD,Houston,23.6,36.0,2013
Klein ISD,Houston,22.4,26.5,2013
La Porte ISD,Houston,19.5,11.2,2013
Pasadena ISD,Houston,19.8,13.1,2013
Spring ISD,Houston,17.4,24.7,2013
Spring Branch ISD,Houston,23.4,46.7,2013
Tomball ISD,Houston,23.0,23.2,2013
Sheldon ISD,Houston,17.2,28.3,2013
Huffman ISD,Houston,22.2,13.4,2013
Dripping Springs ISD,Austin,25.4,48.3,2013
Wimberley ISD,Austin,23.4,44.3,2013
Granbury ISD,Fort Worth,22.2,42.6,2013
Lipan ISD,Fort Worth,20.6,,2013
Tolar ISD,Fort Worth,22.1,36.8,2013
Caddo Mills ISD,Richardson,22.6,19.4,2013
Celeste ISD,Richardson,21.7,53.1,2013
Commerce ISD,Richardson,19.8,37.9,2013
Greenville ISD,Richardson,20.5,14.9,2013
Lone Oak ISD,Richardson,21.6,50.8,2013
Quinlan ISD,Richardson,19.8,27.8,2013
Wolfe City ISD,Richardson,18.7,63.6,2013
Campbell ISD,Richardson,19.3,47.4,2013
Bland ISD,Richardson,21.7,21.9,2013
Boles ISD,Richardson,20.9,35.1,2013
Alvarado ISD,Fort Worth,19.1,19.8,2013
Burleson ISD,Fort Worth,21.4,20.2,2013
Cleburne ISD,Fort Worth,21.0,14.8,2013
Grandview ISD,Fort Worth,22.4,48.9,2013
Joshua ISD,Fort Worth,22.2,14.8,2013
Keene ISD,Fort Worth,,,2013
Rio Vista ISD,Fort Worth,19.1,14.9,2013
Venus ISD,Fort Worth,19.5,27.8,2013
Godley ISD,Fort Worth,20.4,29.3,2013
Falls City ISD,San Antonio,21.4,82.4,2013
Crandall ISD,Richardson,20.6,39.5,2013
Forney ISD,Richardson,21.8,21.6,2013
Kaufman ISD,Richardson,20.5,11.0,2013
Kemp ISD,Richardson,19.9,21.7,2013
Mabank ISD,Richardson,21.6,42.8,2013
Terrell ISD,Richardson,19.0,12.5,2013
Scurry-Rosser ISD,Richardson,21.1,15.0,2013
Boerne ISD,San Antonio,25.0,44.8,2013
Comfort ISD,Austin,22.4,32.5,2013
Center Point ISD,San Antonio,18.9,25.5,2013
Kerrville ISD,San Antonio,22.4,14.6,2013
Ingram ISD,San Antonio,20.4,42.7,2013
Brackett ISD,San Antonio,19.6,21.1,2013
Cotulla ISD,San Antonio,16.0,,2013
Giddings ISD,Austin,19.8,20.8,2013
Lexington ISD,Austin,18.3,10.0,2013
Cleveland ISD,Houston,19.1,10.8,2013
Dayton ISD,Houston,19.5,8.3,2013
Hardin ISD,Houston,20.1,14.5,2013
Liberty ISD,Houston,21.9,17.1,2013
Tarkington ISD,Houston,21.3,8.6,2013
Llano ISD,Austin,21.5,21.6,2013
Eagle Pass ISD,San Antonio,18.4,11.3,2013
Devine ISD,San Antonio,18.9,31.3,2013
Natalia ISD,San Antonio,17.0,38.7,2013
Hondo ISD,San Antonio,21.2,58.2,2013
Medina Valley ISD,San Antonio,20.9,67.1,2013
Thorndale ISD,Austin,21.0,52.7,2013
Gordon ISD,Fort Worth,20.1,52.4,2013
Graford ISD,Fort Worth,,,2013
Mineral Wells ISD,Fort Worth,21.0,15.0,2013
Santo ISD,Fort Worth,21.2,47.8,2013
Strawn ISD,Fort Worth,,,2013
Poolville ISD,Fort Worth,21.0,18.2,2013
Springtown ISD,Fort Worth,20.9,17.7,2013
Weatherford ISD,Fort Worth,22.2,26.6,2013
Millsap ISD,Fort Worth,21.5,23.4,2013
Aledo ISD,Fort Worth,23.9,52.4,2013
Peaster ISD,Fort Worth,24.4,21.3,2013
Brock ISD,Fort Worth,22.7,45.0,2013
Leakey ISD,San Antonio,19.2,87.5,2013
Rockwall ISD,Richardson,23.4,44.4,2013
Royse City ISD,Richardson,21.4,19.8,2013
Glen Rose ISD,Fort Worth,20.8,39.3,2013
Arlington ISD,Fort Worth,20.8,23.2,2013
Birdville ISD,Fort Worth,21.4,34.1,2013
Everman ISD,Fort Worth,16.1,31.3,2013
Fort Worth ISD,Fort Worth,18.2,29.2,2013
Grapevine-Colleyville ISD,Fort Worth,24.5,50.8,2013
Keller ISD,Fort Worth,22.8,44.5,2013
Mansfield ISD,Fort Worth,20.8,32.1,2013
Lake Worth ISD,Fort Worth,17.0,29.8,2013
Crowley ISD,Fort Worth,19.0,22.9,2013
Kennedale ISD,Fort Worth,21.8,19.5,2013
Azle ISD,Fort Worth,21.4,28.1,2013
Hurst-Euless-Bedford ISD,Fort Worth,21.1,32.7,2013
Castleberry ISD,Fort Worth,19.6,4.6,2013
Eagle Mt-Saginaw ISD,Fort Worth,21.2,26.9,2013
Carroll ISD,Fort Worth,26.0,78.6,2013
White Settlement ISD,Fort Worth,20.3,25.9,2013
Austin ISD,Austin,21.5,35.3,2013
Pflugerville ISD,Austin,20.7,33.6,2013
Manor ISD,Austin,16.8,44.0,2013
Eanes ISD,Austin,27.1,73.2,2013
Del Valle ISD,Austin,17.8,41.2,2013
Lago Vista ISD,Austin,23.3,47.4,2013
Lake Travis ISD,Austin,24.7,54.5,2013
Knippa ISD,San Antonio,20.8,,2013
Sabinal ISD,San Antonio,15.1,28.6,2013
Utopia ISD,San Antonio,20.6,,2013
Canton ISD,Richardson,21.9,34.0,2013
Wills Point ISD,Richardson,20.8,40.3,2013
Hempstead ISD,Houston,18.2,39.8,2013
Waller ISD,Houston,20.3,42.7,2013
Royal ISD,Houston,19.0,48.2,2013
Florence ISD,Austin,21.8,13.3,2013
Georgetown ISD,Austin,22.4,32.7,2013
Granger ISD,Austin,18.9,45.9,2013
Hutto ISD,Austin,20.2,26.0,2013
Jarrell ISD,Austin,20.5,29.4,2013
Liberty Hill ISD,Austin,23.4,30.5,2013
Round Rock ISD,Austin,23.7,40.1,2013
Taylor ISD,Austin,20.2,17.1,2013
Thrall ISD,Austin,21.9,47.4,2013
Leander ISD,Austin,23.8,39.2,2013
Floresville ISD,San Antonio,19.8,45.5,2013
La Vernia ISD,San Antonio,21.2,28.0,2013
Poth ISD,San Antonio,20.7,38.1,2013
Stockdale ISD,San Antonio,22.3,21.3,2013
Alvord ISD,Fort Worth,21.4,51.4,2013
Boyd ISD,Fort Worth,19.9,29.4,2013
Bridgeport ISD,Fort Worth,21.6,26.4,2013
Chico ISD,Fort Worth,19.8,26.1,2013
Decatur ISD,Fort Worth,21.3,43.0,2013
Paradise ISD,Fort Worth,22.1,46.5,2013
Slidell ISD,Fort Worth,19.4,54.2,2013
Crystal City ISD,San Antonio,16.6,56.6,2013
La Pryor ISD,San Antonio,15.8,43.9,2013
Charlotte ISD,San Antonio,16.3,59.3,2014
Jourdanton ISD,San Antonio,19.9,41.2,2014
Lytle ISD,San Antonio,17.8,47.5,2014
Pleasanton ISD,San Antonio,20.1,20.7,2014
Poteet ISD,San Antonio,17.9,43.0,2014
Medina ISD,San Antonio,21.1,40.0,2014
Bandera ISD,San Antonio,22.0,45.1,2014
Bastrop ISD,Austin,20.0,17.6,2014
Elgin ISD,Austin,20.1,14.1,2014
Smithville ISD,Austin,19.8,24.8,2014
Bartlett ISD,Austin,16.1,58.8,2014
Alamo Heights ISD,San Antonio,24.7,58.9,2014
Harlandale ISD,San Antonio,18.4,24.9,2014
Edgewood ISD,San Antonio,16.9,25.7,2014
Randolph Field ISD,San Antonio,22.9,36.7,2014
San Antonio ISD,San Antonio,16.7,41.8,2014
South San Antonio ISD,San Antonio,17.9,16.8,2014
Somerset ISD,San Antonio,17.0,24.6,2014
North East ISD,San Antonio,22.4,27.3,2014
East Central ISD,San Antonio,18.9,29.7,2014
Southwest ISD,San Antonio,17.8,8.0,2014
Lackland ISD,San Antonio,24.0,100.0,2014
Ft Sam Houston ISD,San Antonio,22.1,50.0,2014
Northside ISD,San Antonio,21.2,22.0,2014
Judson ISD,San Antonio,18.6,14.6,2014
Southside ISD,San Antonio,19.0,22.8,2014
Johnson City ISD,Austin,22.0,9.1,2014
Blanco ISD,Austin,20.9,66.7,2014
Alvin ISD,Houston,20.2,18.0,2014
Angleton ISD,Houston,18.6,11.3,2014
Danbury ISD,Houston,19.6,7.6,2014
Brazosport ISD,Houston,22.0,18.9,2014
Sweeny ISD,Houston,21.1,33.3,2014
Columbia-Brazoria ISD,Houston,21.6,14.4,2014
Pearland ISD,Houston,22.5,21.2,2014
Marble Falls ISD,Austin,21.2,37.9,2014
Lockhart ISD,Austin,19.2,24.2,2014
Luling ISD,Austin,18.8,30.5,2014
Prairie Lea ISD,Austin,18.0,21.4,2014
Anahuac ISD,Houston,19.0,46.2,2014
Barbers Hill ISD,Houston,21.7,25.9,2014
Allen ISD,Richardson,24.1,45.8,2014
Anna ISD,Richardson,21.5,17.3,2014
Celina ISD,Richardson,21.9,68.7,2014
Farmersville ISD,Richardson,21.5,19.8,2014
Frisco ISD,Richardson,24.1,52.8,2014
McKinney ISD,Richardson,23.3,42.0,2014
Melissa ISD,Richardson,21.7,60.0,2014
Plano ISD,Richardson,25.8,53.2,2014
Princeton ISD,Richardson,21.1,20.6,2014
Prosper ISD,Richardson,23.2,60.9,2014
Wylie ISD,Richardson,21.8,37.9,2014
Blue Ridge ISD,Richardson,18.4,51.4,2014
Community ISD,Richardson,20.1,22.3,2014
Lovejoy ISD,Richardson,25.6,67.3,2014
New Braunfels ISD,Austin,22.3,21.7,2014
Comal ISD,Austin,22.2,28.1,2014
Gainesville ISD,Fort Worth,20.4,50.3,2014
Muenster ISD,Fort Worth,22.6,38.9,2014
Valley View ISD,Fort Worth,19.7,22.9,2014
Callisburg ISD,Fort Worth,,1.2,2014
Era ISD,Fort Worth,19.0,58.3,2014
Lindsay ISD,Fort Worth,22.8,60.6,2014
Carrollton-Farmers Branch ISD,Richardson,21.0,25.4,2014
Cedar Hill ISD,Richardson,19.2,53.6,2014
Dallas ISD,Richardson,17.1,45.7,2014
Desoto ISD,Richardson,17.0,34.6,2014
Duncanville ISD,Richardson,18.6,25.6,2014
Garland ISD,Richardson,20.7,26.8,2014
Grand Prairie ISD,Richardson,18.9,25.1,2014
Highland Park ISD,Richardson,27.2,84.9,2014
Irving ISD,Richardson,18.7,15.2,2014
Lancaster ISD,Richardson,16.4,43.0,2014
Mesquite ISD,Richardson,18.9,22.8,2014
Richardson ISD,Richardson,20.2,92.3,2014
Sunnyvale ISD,Richardson,22.8,57.0,2014
Coppell ISD,Richardson,25.2,61.9,2014
Denton ISD,Fort Worth,21.1,34.6,2014
Lewisville ISD,Fort Worth,23.7,40.7,2014
Pilot Point ISD,Fort Worth,19.4,27.6,2014
Krum ISD,Fort Worth,20.7,39.4,2014
Ponder ISD,Fort Worth,22.7,35.0,2014
Aubrey ISD,Fort Worth,22.8,31.2,2014
Sanger ISD,Fort Worth,21.2,20.6,2014
Argyle ISD,Fort Worth,24.5,73.3,2014
Northwest ISD,Fort Worth,22.6,37.7,2014
Lake Dallas ISD,Fort Worth,22.5,29.9,2014
Little Elm ISD,Fort Worth,20.3,36.2,2014
Avalon ISD,Richardson,18.7,14.3,2014
Ennis ISD,Richardson,19.5,46.3,2014
Ferris ISD,Richardson,19.5,33.8,2014
Italy ISD,Richardson,17.8,50.0,2014
Midlothian ISD,Richardson,22.3,51.6,2014
Milford ISD,Richardson,20.2,60.0,2014
Palmer ISD,Richardson,20.5,28.2,2014
Red Oak ISD,Richardson,21.0,41.0,2014
Waxahachie ISD,Richardson,21.3,24.4,2014
Maypearl ISD,Richardson,21.0,29.3,2014
Dublin ISD,Fort Worth,19.7,30.0,2014
Stephenville ISD,Fort Worth,21.8,52.7,2014
Huckabay ISD,Fort Worth,20.6,87.5,2014
Lingleville ISD,Fort Worth,18.8,85.7,2014
Bonham ISD,Richardson,20.3,40.4,2014
Dodd City ISD,Richardson,21.9,71.4,2014
Ector ISD,Richardson,23.3,17.6,2014
Honey Grove ISD,Richardson,20.1,78.1,2014
Leonard ISD,Richardson,20.8,47.4,2014
Savoy ISD,Richardson,19.4,23.8,2014
Trenton ISD,Richardson,21.2,25.0,2014
Sam Rayburn ISD,Richardson,20.9,56.3,2014
Flatonia ISD,Austin,18.8,60.5,2014
La Grange ISD,Austin,21.4,11.6,2014
Schulenburg ISD,Austin,19.9,12.1,2014
Fayetteville ISD,Austin,20.3,41.2,2014
Round Top-Carmine ISD,Austin,21.5,71.4,2014
Needville ISD,Houston,21.6,30.3,2014
Fort Bend ISD,Houston,22.1,33.9,2014
Dilley ISD,San Antonio,17.2,35.3,2014
Pearsall ISD,San Antonio,17.4,50.9,2014
Dickinson ISD,Houston,18.7,17.3,2014
Galveston ISD,Houston,20.3,22.3,2014
La Marque ISD,Houston,16.7,8.5,2014
Texas City ISD,Houston,19.1,11.3,2014
Hitchcock ISD,Houston,14.9,31.4,2014
Santa Fe ISD,Houston,21.0,9.8,2014
Clear Creek ISD,Houston,24.1,36.4,2014
Friendswood ISD,Houston,25.0,40.5,2014
Fredericksburg ISD,Austin,21.8,36.6,2014
Harper ISD,Austin,21.6,62.5,2014
Gonzales ISD,Austin,20.4,39.2,2014
Bells ISD,Richardson,21.3,48.3,2014
Collinsville ISD,Richardson,22.0,80.8,2014
Denison ISD,Richardson,21.5,29.8,2014
Howe ISD,Richardson,22.4,34.7,2014
Sherman ISD,Richardson,21.3,28.1,2014
Van Alstyne ISD,Richardson,22.0,46.9,2014
Whitesboro ISD,Richardson,21.6,53.4,2014
Whitewright ISD,Richardson,21.5,33.3,2014
Pottsboro ISD,Richardson,23.4,36.6,2014
Gunter ISD,Richardson,21.9,50.8,2014
Tom Bean ISD,Richardson,23.8,34.4,2014
Seguin ISD,Austin,20.1,18.2,2014
Schertz-Cibolo-U City ISD,San Antonio,21.8,21.5,2014
Navarro ISD,Austin,20.9,35.9,2014
Marion ISD,Austin,20.6,19.3,2014
Aldine ISD,Houston,17.7,36.5,2014
Alief ISD,Houston,18.2,25.4,2014
Channelview ISD,Houston,17.3,23.0,2014
Crosby ISD,Houston,18.8,25.4,2014
Cypress-Fairbanks ISD,Houston,21.9,31.0,2014
Deer Park ISD,Houston,20.8,17.0,2014
Galena Park ISD,Houston,17.9,33.6,2014
Houston ISD,Houston,20.5,20.6,2014
Humble ISD,Houston,22.8,31.3,2014
Katy ISD,Houston,23.9,37.1,2014
Klein ISD,Houston,22.4,28.3,2014
La Porte ISD,Houston,18.9,13.0,2014
Pasadena ISD,Houston,19.8,15.6,2014
Spring ISD,Houston,18.2,18.9,2014
Spring Branch ISD,Houston,23.8,48.0,2014
Tomball ISD,Houston,23.0,30.2,2014
Sheldon ISD,Houston,18.1,30.3,2014
Huffman ISD,Houston,22.3,14.9,2014
Dripping Springs ISD,Austin,24.3,46.1,2014
Wimberley ISD,Austin,23.8,42.6,2014
Granbury ISD,Fort Worth,21.9,45.8,2014
Lipan ISD,Fort Worth,18.3,42.1,2014
Tolar ISD,Fort Worth,21.2,50.0,2014
Caddo Mills ISD,Richardson,21.6,14.4,2014
Celeste ISD,Richardson,20.7,46.2,2014
Commerce ISD,Richardson,20.0,62.2,2014
Greenville ISD,Richardson,21.0,12.7,2014
Lone Oak ISD,Richardson,21.2,56.7,2014
Quinlan ISD,Richardson,19.7,27.3,2014
Wolfe City ISD,Richardson,21.3,57.4,2014
Campbell ISD,Richardson,20.3,35.0,2014
Bland ISD,Richardson,22.7,20.5,2014
Boles ISD,Richardson,19.5,25.6,2014
Alvarado ISD,Fort Worth,18.6,16.8,2014
Burleson ISD,Fort Worth,21.7,23.3,2014
Cleburne ISD,Fort Worth,21.7,14.5,2014
Grandview ISD,Fort Worth,22.5,49.4,2014
Joshua ISD,Fort Worth,22.3,16.7,2014
Keene ISD,Fort Worth,,1.8,2014
Rio Vista ISD,Fort Worth,21.2,22.4,2014
Venus ISD,Fort Worth,19.4,38.3,2014
Godley ISD,Fort Worth,21.2,18.6,2014
Falls City ISD,San Antonio,21.2,77.8,2014
Crandall ISD,Richardson,20.2,38.1,2014
Forney ISD,Richardson,20.8,24.6,2014
Kaufman ISD,Richardson,20.1,17.9,2014
Kemp ISD,Richardson,19.7,25.0,2014
Mabank ISD,Richardson,21.8,30.8,2014
Terrell ISD,Richardson,19.9,17.2,2014
Scurry-Rosser ISD,Richardson,19.8,12.5,2014
Boerne ISD,San Antonio,24.3,46.2,2014
Comfort ISD,Austin,19.6,35.4,2014
Center Point ISD,San Antonio,18.3,32.4,2014
Kerrville ISD,San Antonio,22.3,15.2,2014
Ingram ISD,San Antonio,18.1,27.6,2014
Brackett ISD,San Antonio,22.0,24.5,2014
Cotulla ISD,San Antonio,16.3,53.8,2014
Giddings ISD,Austin,18.4,11.2,2014
Lexington ISD,Austin,19.6,7.7,2014
Dime Box ISD,Austin,20.0,80.0,2014
Cleveland ISD,Houston,16.4,9.8,2014
Dayton ISD,Houston,18.3,8.9,2014
Hardin ISD,Houston,18.7,14.1,2014
Liberty ISD,Houston,19.1,9.9,2014
Tarkington ISD,Houston,18.4,6.7,2014
Llano ISD,Austin,23.3,20.0,2014
Eagle Pass ISD,San Antonio,19.4,7.4,2014
Devine ISD,San Antonio,19.7,18.4,2014
Natalia ISD,San Antonio,16.9,22.0,2014
Hondo ISD,San Antonio,20.3,60.0,2014
Medina Valley ISD,San Antonio,20.6,65.2,2014
Thorndale ISD,Austin,20.4,49.1,2014
Gordon ISD,Fort Worth,21.3,50.0,2014
Mineral Wells ISD,Fort Worth,20.8,17.2,2014
Santo ISD,Fort Worth,21.1,58.8,2014
Poolville ISD,Fort Worth,14.7,9.7,2014
Springtown ISD,Fort Worth,21.8,19.4,2014
Weatherford ISD,Fort Worth,20.9,29.0,2014
Millsap ISD,Fort Worth,19.4,25.0,2014
Aledo ISD,Fort Worth,24.1,61.8,2014
Peaster ISD,Fort Worth,21.8,32.7,2014
Brock ISD,Fort Worth,22.9,30.0,2014
Leakey ISD,San Antonio,20.2,77.3,2014
Rockwall ISD,Richardson,22.9,45.8,2014
Royse City ISD,Richardson,21.6,24.4,2014
Glen Rose ISD,Fort Worth,20.1,51.4,2014
Arlington ISD,Fort Worth,20.7,28.6,2014
Birdville ISD,Fort Worth,21.4,34.7,2014
Everman ISD,Fort Worth,16.4,18.7,2014
Fort Worth ISD,Fort Worth,17.9,26.6,2014
Grapevine-Colleyville ISD,Fort Worth,24.5,52.7,2014
Keller ISD,Fort Worth,23.1,47.2,2014
Mansfield ISD,Fort Worth,21.3,31.6,2014
Lake Worth ISD,Fort Worth,17.4,37.4,2014
Crowley ISD,Fort Worth,18.6,27.5,2014
Kennedale ISD,Fort Worth,21.3,23.7,2014
Azle ISD,Fort Worth,22.0,29.1,2014
Hurst-Euless-Bedford ISD,Fort Worth,21.9,32.4,2014
Castleberry ISD,Fort Worth,17.6,4.8,2014
Eagle Mt-Saginaw ISD,Fort Worth,20.5,39.4,2014
Carroll ISD,Fort Worth,26.6,81.0,2014
White Settlement ISD,Fort Worth,20.3,32.0,2014
Austin ISD,Austin,21.9,36.1,2014
Pflugerville ISD,Austin,20.1,31.9,2014
Manor ISD,Austin,17.5,45.2,2014
Eanes ISD,Austin,27.3,75.0,2014
Del Valle ISD,Austin,17.6,44.7,2014
Lago Vista ISD,Austin,23.0,51.1,2014
Lake Travis ISD,Austin,25.1,56.5,2014
Knippa ISD,San Antonio,,20.0,2014
Sabinal ISD,San Antonio,18.5,16.7,2014
Utopia ISD,San Antonio,21.6,53.3,2014
Canton ISD,Richardson,23.8,27.3,2014
Wills Point ISD,Richardson,20.3,34.1,2014
Hempstead ISD,Houston,18.2,41.6,2014
Waller ISD,Houston,19.6,47.0,2014
Royal ISD,Houston,19.5,40.7,2014
Florence ISD,Austin,27.0,2.8,2014
Georgetown ISD,Austin,22.7,34.3,2014
Granger ISD,Austin,18.3,33.3,2014
Hutto ISD,Austin,20.4,33.8,2014
